answer;a1-;a2-;a3-;a4-;a5-;a6-;a7-;a8-;a9-;a10-;a11-;a12-;a13-;a14-;a15-;a16-;a17-;a18-;a19-;a20-;q21-;a22-;a23-;a24-;a25-;a26-;a27-;a28-;a29-;a30-;a31-
"Вы живете словно двойной жизнью: во внешнем мире вы лидер класса, успешный ученик, обладатель многих жизненных благ, во внутреннем же мире вы одиноки, апатичны, депрессивны, страдаете от суицидальных мыслей. Так жить правда тяжело. Возможно, вы не чувствуете самого себя, словно вы живете без себя, - и тогда это источник внутренней боли, зависти к другим, отсутствие веры в самого себя. У вас сложные отношения с самим собой, и можно было бы попробовать начать именно с этого, -знакомства с самим собой настоящим, предъявления себя истинного миру. Когда вы депрессивны и апатичны, вы можете попробовать быть таковым и рядом с другими людьми (не только со своим единственным другом), - это поможет вам сэкономить душевные силы (очень трудно претворяться жизнерадостным, когда на самом деле хочется прыгнуть с моста) и позволит вам выстроить с окружающими более доверительные и искренние отношения. К тому же это шанс на то, чтобы быть принятым всерьез, получить от окружающих сочувствие и тепло, мне кажется, вам этого не хватает. Материальные блага не согревают, они могут тешить самолюбие, но не это делает жизнь теплой и радостной.
Отвечу на несколько ваших вопросов: 1. Сравнение своей жизни с главными героями из аниме/фильма/сериала, постоянные мысли ""Может мне лучше умереть, чем продолжать жить, как сейчас?"" Сейчас кто-то живет жизнью моей мечты, почему на его месте не я? Вы сравниваете себя с нереальными образцами, вымышленными персонажами (герои фильмов и аниме - это не обыкновенные люди, это выдумка, фантазия. Насколько это реалистично - завидовать сказочным героям?) Что мешает вам жить жизнью своей мечты? О понимаете ли вы, какая это жизнь для вас? У всех жизнь мечты разная, кому-то нужен дворец, а кто-то счастлив в деревне с утками и коровами. Вы жалуетесь на жизнь, но поиск жалости - это про поиск сочувствия, понимания и тепла. Вы переживаете дефицит этого, а это куда более важные вещи в жизни, чем айфоны или машины. Просто потому что согревают человечеческие отношения, а не  благосостояние.
2.Отсутствие желания жить, учиться и совершенствоваться. Даниил, нормально не хотеть учиться и совершенствоваться, особенно в 16 лет, когда куда важнее учебы отношения со сверстниками и девушками. А вот нежелание жить это и правда серьезная проблема. И за этим может стоять ваш предыдущий жизненный опыт, тут в двух словах вам не поможешь, нужно разбираться в биографии, искать ранения, которые отняли у вас радость жизни, искать ценности, которые могут поддержать вас и воспламенить в вас желание жить.
3. Одиночество, боюсь, что лишусь единственного лучшего друга, который отдаляется от меня и иногда не понимает. Вы можете сказать своему другу о том, как он вам дорог и как вам не хватает его поддержки. Попробуйте понять, с чем связано это отдаление? Что вы можете сделать для того, чтобы укрепить эти дорогие вашему сердцу отношения?
4. А вдруг не выйдет? Как выбраться профессию, как выучить язык, как подготовиться к экзаменам? Ведь если не получится, то я застрял в месте, которое ненавижу. Даниил, конечно, всегда есть вероятность, что не выйдет так, как хочется, но может получиться как-то по-другому, и это тоже будет опыт, полезный и нужный для жизни в целом. Как выбрать профессию? Вы можете пройти профориентационные тесты, важно знать свои склонности, свои интересы, свои ""нравиться"", свои сильные и слабые стороны. И в этом вам также может помочь работа с психологом. А как вы готовились к экзаменам раньше ? И откуда вы знаете, что у вас не получится сдать экзамены? Вы лучший ученик в классе, это о многом говорит. Только сомневаетесь в себе и не верите в свои силы.
""зачем я вообще здесь, кто я такой, какой смысл мне жить?"" Это хорошие вопросы, на которые нет однозначного ответа. И на эти вопросы люди ищут ответы на протяжении жизни. Со временем вы найдете и свой собственный ответ на эти жизненно важные вопросы.
""Если раньше просто думал о нем второстепенно, то сейчас самоубийство фигурирует, как способ решения всех моих проблем и переживаний"". Да, после смерти ничего нет,и сейчас вы переживаете свою жизнь как настолько плохую, что вам кажется, что и жить-то ее не стоит. Но можете ли вы допустить, что то, как вы сейчас живете, - это еще не вся жизнь? что жизнь может быть иной? Может быть, если вы сможете прожить свою боль, принять самого себя, научиться быть добрее и мягче к себе, ваша жизнь еще может измениться? Это правда так. Дайте жизни шанс, она еще может хорошо удивить вас.
Даниил, вам сейчас одиноко, трудно без дружеской поддержки, я понимаю вас. Но правда жизни в том, что другие люди не могут быть для нас на связи всегда, иногда происходит отдаление, расставание, это , конечно, грустная часть жизни. И про это остается грустить, а заодно учиться для самого себя быть другом, в котором вы так нуждаетесь. И эти два года вы можете учиться тому, как стать для самого себя опорой и поддержкой. Это может быть сложно в одиночку, и тогда вам может помочь работа с психологом. Вам кажется, что все пойдет по худшему сценарию? развивайте критическое мышление!задавайте себе почаще вопрос о том, откуда я знаю, что все пойдет самым худшим образом? разве Бог прислал вам уже по почте все вашу судьбу,и там только одни плохие события? А к самосовершенствованию можно и не стремиться, отдохните от этого изматывающего труда, лучше подружиться с самим собой и научить опираться на самого себя. тогда и сравнивать не нужно будет. Добавлю, что вы можете поразмышлять еще вот над какими вопросами:"" Действительно ли нужно всегда сравнивать себя с другими? Может быть, достаточно смотреть на то, что делаете вы сами?""
Даниил, чтобы не покончить жизнь самоубийством, нужно обращаться за профессиональной помощью. Психолог или психотерапевт может вам помочь. Не лишайте себя шанса прожить эту прекрасную жизнь.
С уважением, Дарья Гуляева";1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1
"Вы пишите ""сейчас"". Как давно это сейчас? Это состояние появилось до лечения у психиатра? После? Во время лечения?
У Вас есть лечащий врач, который Вас знает, наблюдает, назначает лечение. Гораздо эффективнее обратиться к нему, рассказать о Вашем состоянии. Возможно, оно связано с назначенным препаратом, возможно нет. Но выяснить и откорректировать это лучше у Вашего врача. Может быть врач назначит одновременно работу с психологом.
Думаю, начать разбираться с Вашим состоянием лучше в этом направлении.
С уважением, Ольга Позняк.";1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Очень Вам сочувствую! Три большие потери подряд - это безумно тяжело... Неудивительно, что организм реагирует ухудшением физического состояния и самочувствия ... Полина, а семейную жизнь можно устроить только до 33-х лет? Есть ли у Вас какие-либо убеждения на этот счёт? Например, о том, что ""женщина должна к 30-ти годам быть замужем и с ребёнком""? Возможно, именно эти установки и убеждения заставляют Вас сильнее переживать? Их можно поискать самостоятельно. Знаете ли Вы людей, у которых семейная жизнь сложилась после 33-х лет? Ведь встретить ""своего"" человека можно в любом возрасте! К сожалению, Вы не написали каких именно сил не хватает - физических или эмоциональных. Если физических, то хорошо бы наладить режим сна, пропить курс витаминов (есть масса бюджетных вариантов) и добавить физической активности. С эмоциональными силами сложнее, нужно смотреть на что они уходят. Куда сейчас обращены Ваши мысли и чувства? На беспокойство о долгах? Чего именно Вы боитесь, когда думаете о них? Этот страх рационален или иррационален? Полина, если я правильно поняла Вашу метафору, Вам кажется, что всё закончится плохо (""овцу зарежут"")? Но ведь вполне вероятен и вариант, что получится раздать все долги? Да, не сразу. Да, возможно, на это уйдёт много времени... Но ведь этот вариант возможен?! Полина, уже по одной этой фразе я понимаю, что Вы очень хотите жить! И это не может не радовать! Какая-то часть Вас очень устала бороться, устала от происходящего и уже не верит в благополучный исход. Но есть и другая часть. Та, что верит, та, что надеется, та, что жаждет жизни. И очень важно сейчас поддержать эту часть. Мне очень нравится выражение ""смерть - это невозможность возможностей"" и я постоянно его повторяю. Пока Вы живы, Вы можете многое. Есть надежда и есть вероятность, что это многое случится. Есть шансы на это. Не отнимайте у себя эти шансы, пожалуйста!
Что или кто придаёт Вам силы жить, кроме братьев? Какие мечты и планы ещё не реализованы? Что Вам бы ещё хотелось попробовать в этом мире и в этой жизни? Есть ли рядом кто-то, кто Вас поддерживает? Можно ли обратиться к ним за помощью?
Есть множество государственных учреждений, куда можно бесплатно попасть на приём к психологу. Возможно, в Вашем городе такие тоже функционируют?
Полина, я желаю Вам сил и терпения! Чтобы справиться с этой ситуацией, чтобы найти в себе силы жить, чтобы найти для себя смысл жить.
с теплотой, Элина
";1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"Понимаю вас, в жизни бывают ситуации, когда на душе становится непереносимо гадко и хочется это как-то прекратить. Хорошо, что от крайнего шага вас останавливают мысли о маме, что она этого не перенесёт (это действительно так)

Я вам накидаю ещё несколько мыслей, может какие-то из них помогут вам справиться с переживаниями.
- На приеме уролога  вы были впервые и потому были не готовы к такому повороту. Могу по секрету вам сказать, что посещение гинеколога для девушек/женщин или проктолога для всех из того же разряда – очень неприятных, но порой, необходимых. Лежишь такой весь беззащитный без штанов, а кто-то где-то там копается в твоих органах...брр  Но вряд ли за всю жизнь нам удастся избежать подобного совсем.

- Вы были на приеме у врача. Это не были отношения мужчина – мужчина, это была ситуация доктор – пациент без гендерной подоплёки. И это была суровая необходимость. В этом случае важно только одно: решился ли ваш запрос, с которым вы пришли в больницу или нет.

- Насильник получает какую-то разрядку/удовольствие/удовлетворение. В случае с доктором этого нельзя сказать. Здесь только работа. Врач не делает с вами что-то, потому что ему это нравится или хочется. Его единственная задача – понять причину и вылечить вас.

- Чисто физиологические процессы и манипуляции они далеко не всегда романтичны (или лучше сказать, всегда не романтичны) Хотя некоторые нелепые движениям туда-обратно мы ощущаем как приятные, когда это по любви и обоюдному согласию. Насилие всегда вызывает остро негативные чувства.  Но может, стоит присвоить нейтральное значение происходящему в медицинском кабинете?

- Физиологические реакции могут случиться помимо нашего желания и воли (как в вашем случае, выход спермы). И это не значит ничего, кроме как реакции организма на определенный стимул. Именно поэтому, вы - ЖИВОЙ ЧЕЛОВЕК, вы не машина, не робот. Ваше организм, созданный природой, как и все живые существа, естественно реагирует на стимул.

С вами всё в порядке. И чувство стыда, если оно у вас возникло, естественное и присуще людям. И возбуждение, одновременно с определёнными страхами также могло вас посетить.
Мы могли бы поговорить о каждом возникшем лично у вас чувстве и тех мыслях, которые их вызвали, во время индивидуальной работы. Но вы пишете, что не готовы пойти  к психологу на личную консультацию.
Тогда вам надо сделать это самостоятельно. Провести анализ своих переживаний. В письме вы сообщили об остром нежелании жить. Это конечный результат цепочки ваших мыслей и чувств. Открутите назад всё, что вы думали.

Мысль запускает чувства. Не сама по себе ситуация, а ваше к ней отношение, - понимаете? То, что происходит с нами оно нейтрально, но мы придаём этому какое-то значение, и в зависимости от этого, возникают соответствующие чувства.
Вам надо понять, какие именно мысли запустили ваши труднопереносимые чувства. Попробуйте заменить их, например, на те, что я предложила выше или сами иначе взгляните на ситуацию. И посмотрите, как будут вслед за этим меняться и ваши переживания.
А ещё просто дайте время вашим неприятным эмоциям поболеть и утихнуть. Вспомните мудрую фразу на кольце царя Соломона: «Всё проходит». Пройдёт и это.";0;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"Это очень больно, когда вас оставляет партнер. Сочувствую вам.
 в новый год вообще бросил, предварительно подняв руку:)

Вы пишите это со смайликом? Однако, это очень грустно и еще возмутительно. Это признак того, что парень не очень хорошо контролирует свои негативные эмоции и может быть опасен. Вот еще один признак неуравновешенного человека, склонного к насилию в отношениях:
Был момент, когда угрожал самоубийством.
Мне очень плохо не от того, что мы расстались, а как он это сделал. Я очень сильно страдала и страдаю, если остаюсь наедине, то я вспоминаю ситуацию и мне так плохо становится от всего этого физически. А он гуляет с друзьями, и в первый же день, пока я билась в истерике, он ушел гулять с другом.

Очень вам сочувствую
Мне кажется, я теперь никому и никогда не буду доверять. А еще мне снится мой приезд и все, что он сделал, просыпаюсь в холодном поту

Вы не описали, как именно произошло, то, что он сделал. Конечно, это может быть слишком тяжело. Бывает полезно проработать ваш болезненный опыт в индивидуальной работе с психологом, тогда болезненные состояния облегчаются и мысли об этом перестают быть такими невыносимыми.
два года не выкинешь, тем более это мои первые отношения вообще

Жаль, что так закончились ваши первые отношения. Это очень больно. Жаль, что вам пришлось это пережить. Но, это тоже опыт. И хорошо, что он закончился. Отношения с эмоционально неуравновешенным человеком - это не то, о чем стоит жалеть.

С уважением, психолог,
Макарова Лола.";1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"Очень сочувствую Вашей боли. Непросто пережить грубость и предательство человека, тем более близкого. Вы не можете принять тот факт, что человек, которому вы доверяли, сделал Вам больно. Поэтому Вам так тяжело. Но боль и страдания – это часть нашей жизни, и важно научиться принимать и проживать их также, как радостные и счастливые моменты. Мы не можем определять поведение и реакции других людей, не всегда понимаем мотивы их поведения. Некоторым людям проще самим завершить отношения, чем осознавать, что оставили их.
Я не знаю, как с этим бороться

Борьба здесь вряд ли поможет. Вам нужно отгоревать. Попробуйте описать все Ваши чувства на бумаге, ведь это никто читать не будет, поэтому Вы можете быть честны и откровенны. Это поможет Вам  отделиться от ситуации, осознать свои чувства.
Если возникнут вопросы или понадобится помощь, обращайтесь на консультацию.

С уважением, Галина Воскресенская
tochka.opory24.vos@yandex.ru";1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Понимаю, как Вам тяжело сейчас. Очень Вам сочувствую.
Все, что меня когда-то интересовало, теперь стало неинтересным. Если это был действительно Ваш интерес, то исчезнуть без причины он не мог. Может интерес был не Ваш? Например, родители хотели, чтобы Вы чем-то конкретным занимались, и, чтобы получить похвалу родителей, Вы делали, но интерес был не в самом действии, а в последующей оценке родителей. Может так?
Не могу никого подпустить к себе слишком близко.

Не можете по какой-то причине. В чем она? Что произойдет, если подпустите? Они могут использовать то, что узнают, против Вас?
Иногда плачу без причины по ночам.

Причины есть. Это неудовлетворенные потребности. Но они пока не осознаются, почему-то Вы пока их не видите. Вы можете представить себе человека, у которого все хорошо, но при этом он плачет?
Когда думаю о будущем, начинаю паниковать или наоборот испытываю равнодушие.

Здесь можно попробовать понять из-за чего паника, чего Вы боитесь в будущем.
У меня не было никаких плохих событий в жизни, которые могли на меня негативно повлиять.

А хорошие события? Они были? Любовь, принятие, поддержка?
Я всегда чувствую себя виноватой и старалась, как могла, но последние несколько лет я просто уже не могу.

Постоянное чувство вины точно не может взяться ниоткуда, где-то есть его истоки. И неплохо бы найти их, потом посмотреть действительно ли Вы так виноваты, как считаете.
Я понимаю, что не буду жить долго. Я просто хочу перестать чувствовать.

Почему не будете жить долго? Из-за постоянного чувства вины? Вы хотите перестать чувствовать вину? Или что-то еще?
Я не могу говорить об этих своих проблемах с окружающими, мне кажется, что все это незначительно, и что я все придумала.

Вам плохо, Вы чувствуете это. Такое состояние не может быть незначительным. Да, кто-то может так считать, но Вам в этом плохо, значит, это важно! И это можно исправить.
Мне просто очень тяжело, и я уже не знаю, что делать.

Тяжело, это чувствуется по Вашему письму. Что делать? Обратиться к психологу, который не будет считать Ваши проблемы незначительными, поможет перестать чувствовать себя виноватой, поможет найти цели, желания, мечты.
Буду рада помочь Вам.
С уважением Ольга Позняк.
Моя почта tochka.opory24.poznyak@yandex.ru. ";1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Удивительно, что вы столько лет не обращались за помощью к специалисту. Если у вас есть сомнения или страхи, то вспомните о том, что врачи для того и существуют, чтобы лечить. Смогли бы вы, например, с переломом ходить 5 лет подряд без помощи врача? Судя по описанию, у вас есть депрессивные симптомы. Рекомендую не затягивать дальше и обратиться за лечением. На данном этапе только психологической проработки будет уже недостаточно, понадобится подключение антидепрессантов. Поэтому лучше выбрать психиатра или психотерапевта, по крайней мере в начале терапии. Не откладывайте обращение, пожалуйста. Если начнете сейчас, то улучшение наступит уже через 2-3 недели.
С радостью помогу вам.
С уважением, Светлана.
tochka.opory24.osipova@yandex.ru";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0
"Мне кажется, центром вашего внимания стоит делать не подругу, а собственную жизнь и здоровье.
Потратить кучу денег на новое обследование и показать ей результаты? Я не была в больнице с октября и меньше всего хочу приходить туда, пока чувствую себя нормально.

Да, именно новое обследование я рекомендую сделать, при этом желательно в другой больнице или лаборатории. В медицине встречаются ошибочные диагнозы, перепутанные результаты анализов и прочее. И если вы себя прилично чувствуете - это дополнительные повод перепроверить результат, возможно, у вас нет поводов для беспокойства и можно строить планы не только на лето, но и на долгую и счастливую жизнь. Другой специалист может не подтвердить диагноз или подобрать альтернативное лечение.
Может она мне не поверила? Я не сказала ей свой диагноз

Гадать почему другой человек поступил так, а не иначе - потеря времени. Проще всего спросить его об этом напрямую. Возможно, подруга не поверила вам, возможно, испугалась, возможно, у нее возникли срочные дела и планы, возможно, она сама себя плохо чувствует, возможно, помирилась с парнем и проводит время у него и таких версий можно сочинить сотню штук.
Весь смысл моей жизни был построен на этом лете. Я запланировала кучу поездок, вечеринок и т.п. А теперь я потеряла квартиру, лучшего друга и смысл жить дальше.

Что мешает устраивать поездки и вечеринки без подруги? Если у нее был парень, то она и так часть времени проводила с ним. Что мешает вам пересмотреть свои планы - и больше включить в них родственников например, или визиты к родителям? Есть ли занятия, которые доставляют вам удовольствие и не связаны с присутствием подруги? Насколько она была в курсе ваших планов на лето и разделяла их? Ведь у нее могут быть свои планы на лето, в которых вы занимаете не центральное место. Любить - это не значит полностью растворяться в чужих интересах.
Вы ответственны за свою жизнь и только вам решать, что с ней делать и как проводить. Лучшее, что вы можете сделать  - это разобраться в своих желаниях и найти способ реализовать их, не возлагая надежды на помощь окружающих

С уважением, Завгородняя Юлия";0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0
"С позиции медика (у меня есть медицинское образование) я недоумеваю, на чем основан прогноз
смертельно больна и мне осталось жить около года

Во-первых, менингиома – доброкачественная опухоль. После одного обследования никто не может Вам сказать, как опухоль будет вести себя дальше. То есть нужны еще обследования, в динамике.
Во-вторых, по какой причине Вы так легко смирились с этими словами? Почему не возмутились, не уточнили, не перепроверили так ли это? Не сделали еще обследование, а может и не одно (в разных местах)?
Предположу, что есть еще какие-то проблемы в жизни, причины, по которым Вы готовы так быстро уйти. Подумайте, что это за причины? Конфликты с родителями? Единственная подруга? Что-то еще? Но большинство проблем все же решаются.
И еще сильное удивление вызвала Ваша реакция на два события. На первое событие
смертельно больна и мне осталось жить около года

Вы отреагировали так
решила никому не говорить и даже выбросила результаты обследования

А на второе
вернулась с работы домой и квартира оказалась пустой. В ней были только мои вещи

Ваша реакция была
Меня впервые накрыла такая сильная истерика и страх одиночества. Я рыдая набрала подругу… сказала что не доживу до завтра

Известие о возможной смерти через год потрясло меньше, чем уход подруги? Может за этим стоит что-то очень важное для Вас?
С уважением, Ольга Позняк.";0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
