rep;r1-;r2-;r3-;r4-;r5-;r6-;r7-;r8-;r9-;r10-;r11-;r12-;r13-;r14-;r15-;r16-;r17-;r18-;r19-;r20-;r21-;r22-;r23-;r24-;r25-;r26-;r27-;r28-;r29-;r30-;r31-;r32-;r33-
Здравствуйте, часто приходят суидициальные мысли иза перегрузки и учёбы. никто меня не понимает потому-что это для многих просто бред. хочется взять и все окончить но тревога что от моего ухода пострадаю не только я. стоит ли этого делать.?;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Здравствуйте, я вечно думаю о суициде, мне на душе не очень хорошо. мать с отцом часто бьют и ругают. у меня была попытка суицида, но у меня она не получилось, что вы можете посоветовать чтобы суицидальные мысли не летели в голову?..;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
"Я пыталась себя убить в 17 лет. Но у меня не вышло. Пыталась найти другие способы, но они ведут к инвалидности. У нас запрещено оружие, так бы я решила этот вопрос. Мне сейчас 21. У меня ничего нет, меня отчислили из университета из за неуспеваемости, психиатры в ПНД обращаются грубо. У меня нет возможности как то обратиться в частную клинику. Я состою на учёте в ПНД. Получаю лечение но оно мне не помогает. 

Я уже устала и ничего не хочу. У меня нет шансов в этой жизни. Я неудачница. Я все упустила. Я не знаю что делать. Я просто хочу покончить с собой. ";1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0
здравствуйте. мне очень жаль, что когда-то все таки мне пришлось таким образом обратиться за помощью. несколько месяцев назад я была буквально очень счастлива и счасилива как никогда в своей жизни. я повстречала в своей жизни чудесного человека, что так сильно полюбил меня, а я его. дело в том, что это была не первая любовь, а скорее самая осознанная и чувственная. меня впервые ценили и уважали, заботились, дарили тепло и не только. я отдавалась взаимно, мое сердце трепеталось от каждого его слова, взгляда, вида. мне хотелось бы так оставаться с ним навсегда. его интересы, вся его жизнь, я познала всего его.. все что у него на душе. и я никогда более не любила настолько человека, как его.. и я могла это чувствовать взаимно. полностью. сколько счастливых и взаимопонимающих моментов было, сколько и рухнуло. у нас возникло много проблем в плане общения, мы находились очень далеко, на расстоянии, поэтому было все тяжко. ему тяжко видеть то, что он не может дать мне все, как мог бы это сделать кто-то рядом. он сказал, что его мучает совесть, что именно он не дает мне раскрыться и почувствовать. вдруг мы и не съедимся в будущем? вдруг этот год будет тяжело пережить и все будет зря. год впустую. я процитировала его слова. мы расстались. для меня это все горько. с потерей его я потеряла саму себя, потеряла цель и желания делать что-то для будущего, стремиться к чему-то. у меня нет сил. по учебе куча долгов, куча пропусков. у меня нет желания что-либо делать как раньше. саморазвиваться, интересоваться литературой, учебой, надежда на хорошее обучение и переезд к любимому человеку в город. все рухнуло. с родителями никаких спокойных отношений, лишь угнетение, что они недовольны мною. крики о том какая я бесполезная, хотя сколько я помогаю и люблю их. я так люблю всех и мне больно, больно от того, что я не могу ничего почувствовать как раньше. я так хочу умереть, я не вижу смысла в своей жизни, не вижу смысла, когда постоянно вижу образ своего любимого человека в общении с кем-то другими. я пыталась выбраться, но каждый раз меня только более все сламливало и подавало мысли, что он никем не заменим, я так скучаю. так скучаю по невозможному. в реальности я растеряла всех своих друзей. так одинока, стала никем. в моей голове ничто кроме скорби обо всем утерянном. я не знаю как идти дальше. у меня не осталось никаких сил, никаких попыток. я так хочу закончить все это. кажется будто бы я насладилась всем, чем можно, в той мере, что уготовано в моей жизни. завтра у меня период сессии, я ничего не сдала, ни к чему не готова. я жду, что меня отчислят, и я не хочу слышать всего этого. не хочу слышать как я уничтожаюсь постепенно для всех, хочу проститься бесследно до всего полноценного конца;1;1;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1
Здравствуйте. Около трёх лет у меня апатия. Ничего не хочется делать. Часто снятся сны о смерти, а именно, как я выпрыгиваю с последнего этажа и разбиваюсь. Часто стоя на балконе думаю об этом. Часто плачу. У меня есть молодой человек, очень его люблю. Больше у меня нет никого. И когда мы ругаемся, так и хочется воплотить сон в реальность. ;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
У меня очень сложная ситуация в отношениях с родителями. Мне скоро 40, но я вынужден сейчас жить с ними, потому что попал в финансовую яму. Моему брату они подарили двухкомнатную квартиру в Москве, а мне - отдали комнату 7 метров. Считают, что так справедливо, потому что он раньше женился. При этом они всегда считали меня своей собственностью. Никогда не хвалили за успехи, но ругали за ошибки. Я сейчас добился большого успеха, который через год позволит погасить долги и выведет меня на новый уровень, возможно с семью нулями оборота. Меня никто даже не поздравил с этим. Ну и зачем мне все это, если самым родным людям это неинтересно. Я сегодня предпринял попытку суицида. Меня остановили, потому что прохожие увидели открытое окно и меня на подоконнике. Я испугался не своей смерти, а что люди увидят вот это все. Но сейчас, после очередной беседы с родителями у меня теперь стойкое желание покончить с собой. И я это сделаю в любом случае. У меня кроме них никого нет, и если они не ценят то, что я делаю, идут нахрен. Пусть живут с этим, твари - собственники.;1;0;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0
Меня часто посещает мысль о суициде, потому что я устала. У меня есть любимый человек и хорошие друзья, но иногда как будто весь мир против меня. Самая главная проблема в моей жизни - моя мать. Она переодически сильно напивается и начинает просто устраивать хаос в моей жизни, желая мне смерти. Никто не может оказать мне помощь, но ходить к психологу я очень боюсь. Я боюсь собственного дома, боюсь снова услышать какая я ужасная и так далее. Что мне делать, я уже не осознаю.;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0
"Здравствуйте. Мне скоро 21 год. Живу отдельно от родителей уже несколько лет. Часто случаются ""срывы"", когда нервы не выдерживают. Недавно уволилась и нашла новую работу, но такое ощущение, словно ничего в жизни не меняется. Я устала жить, я не вижу смысла в этом и единственное, что меня держит, так это жалость к матери. Раньше, до 15 лет у нас были не очень хорошие отношения, она всегда вставала на сторону отчима, но нее отношение изменилось только после того, как ей мой школьный психолог рассказала о моих суицидальных наклонностях. Я уже давно нахожусь в этом состоянии и мне пытались помочь 3 психолога, но им всем по большему счету было плевать. Ловлю себя постоянно на мысли, что я бесполезна, что жалею о своём рождении и мысленно всегда извиняюсь перед матерью, за то, какая я и что выросла такой. Мне очень жаль за всё. Я просто хочу помочь себе, но уже несколько недель не выхожу из этого подавленного состояния, параллельно вбивая в гугл способы безболезненно уйти из жизни. Даже перерыла всю аптечку, но ничего так и не нашла, чтобы с большой вероятностью умереть. Я не хочу помощи, я просто уже не надеюсь вылечиться, потому что это уже не имеет смысла. Я бесполезной выросла и не вижу какого-либо счастья в будущем. Я и не надеялась дожить до 18ти лет, но вот мне скоро 21. В свой день рождения хочу наконец закончить всё это.";1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0
Я на 9 месяце беременности. Живу с молодым человеком, ребёнок от него. От него нет никакой помощи и поддержки, ни физической ни психической. Я его почти содержу. В последние два дня он начал спрашивать, когда я подкачаюсь. И что неплохо было бы подкачать грудь и попу. И это он говорит мне на 9 месяце!!!! По дому не помогает, подарки не дарит, к рождению ребёнка не готовится. На еду и оплату аренды скидываемся пополам. Я понимаю, что нужно уходить, но сил нет. Хочу покончить с собой. ;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0
Я дружу с девушкой ей 26 мне 20. У нас очень близкая дружба. У нее 2 ребенка. Но она уверена что мы друзья. А я люблю и хочу отношений. И стал замечать что появляется ревность. Даже к бывшему мужу. Что он с ней когда то спал. Появляются мысли о самоубийстве. Что после смерти она все поймёт и будет переживать что нельзя все вернуть назад;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
